"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC AAA-AA-A Corporate Bond All Stocks Index Fund 3","NEM3","GB00B4MWTZ99","Fixed interest","Passive","Sterling Corporate Bond","Markit iBoxx £ Non-Gilts (ex-BBB) Index","0.120","0","0.120","","0.120","https://fundcentres.lgim.com/srp/documents-id/23fc22c1-6424-4ae4-bd5d-e27f392a1965/Fact-Sheet_AAA-AA-A-Corporate-Bond-All-Stocks-Index-Fund-LG-PMC-AAA-AA-A-Corporate-Bond-All-Stocks-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC AAA-AA-A Corporate Bond Over 15 Year Index Fund 3","NEK3","GB00B4NHFN30","Fixed interest","Passive","Sterling Long Bond","Markit iBoxx £ Non-Gilts (ex-BBB) Over 15 Years Index","0.120","0","0.120","","0.120","https://fundcentres.lgim.com/srp/documents-id/9af05666-9069-4e43-9bc4-44f21c77174d/Fact-Sheet_AAA-AA-A-Corporate-Bond-Over-15-Year-Index-Fund-LG-PMC-AAA-AA-A-Corporate-Bond-Over-15-Year-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC AAA-AA Fixed Interest All Stocks Targeted Duration Fund 3","NEJ3","GB00B4VJXD79","Fixed interest","Passive","Sterling Fixed Interest","","0.120","0","0.120","","0.120","https://fundcentres.lgim.com/srp/documents-id/1741e67f-f5a4-4781-8c39-c7c9a37d4471/Fact-Sheet_AAA-AA-Fixed-Interest-All-Stocks-Targeted-Duration-Fund-LG-PMC-AAA-AA-Fixed-Interest-All-Stocks-Targeted-Duration-Fund-3.pdf,Fact sheet,English"
"L&G PMC AAA-AA Fixed Interest Over 15 Year Targeted Duration Fund 3","NEI3","GB00B4X39C81","Fixed interest","Passive","Sterling Long Bond","","0.120","0","0.120","","0.120","https://fundcentres.lgim.com/srp/documents-id/2ce28a51-c539-4cc9-bba6-da7d1dd12bef/Fact-Sheet_AAA-AA-Fixed-Interest-Over-15-Year-Targeted-Duration-Fund-LG-PMC-AAA-AA-Fixed-Interest-Over-15-Year-Targeted-Duration-Fund-3.pdf,Fact sheet,English"
"L&G PMC Aegon Ethical Corporate Bond 3","BCE3","BCE3","Fixed interest","Active","Sterling Corporate Bond","Markit iBoxx Sterling Collateralized & Corporate Index","0.55","0.02","0.55","","0.57","https://fundcentres.lgim.com/srp/documents-id/2595e81c-9b64-4da1-b61c-9189ea1032a1/Fact-Sheet_Aegon-Ethical-Corporate-Bond-Fund-LG-PMC-Aegon-Ethical-Corporate-Bond-3.pdf,Fact sheet,English"
"L&G PMC Aegon Ethical Equity 3","B2M3","GB00BGYBVY16","Equity","Active","UK All Companies","FTSE All-Share Index","0.52","0.02","0.52","","0.54","https://fundcentres.lgim.com/srp/documents-id/1bcd09db-116e-44a4-920f-da7204ca5e12/Fact-Sheet_Aegon-Ethical-Equity-Fund-LG-PMC-Aegon-Ethical-Equity-3.pdf,Fact sheet,English"
"L&G PMC Aegon High Yield Bond 3","B6M3","GB00BD1FVT05","Fixed interest","Active","Sterling High Yield","Bloomberg Barclays Global Aggregate GBP Hedged","0.55","0.02","0.55","","0.57","https://fundcentres.lgim.com/srp/documents-id/e91f19c2-84b5-4d5d-9fd8-0c5b20e2ba24/Fact-Sheet_Aegon-High-Yield-Bond-Fund-LG-PMC-Aegon-High-Yield-Bond-3.pdf,Fact sheet,English"
"L&G PMC Aegon Strategic Bond 3","B1O3","GB00BD1FX727","Fixed interest","Active","Sterling Strategic Bond","Bloomberg Barclays Global Aggregate GBP Hedged","0.55","0.02","0.55","","0.57","https://fundcentres.lgim.com/srp/documents-id/d30bf820-52ff-4107-bf50-d2f43c3dc377/Fact-Sheet_Aegon-Strategic-Bond-Fund-LG-PMC-Aegon-Strategic-Bond-3.pdf,Fact sheet,English"
"L&G PMC All Stocks Gilts Index Fund 3","NBY3","GB00B4NQ8P32","Fixed interest","Passive","UK Gilts","FTSE Actuaries UK Conventional Gilts All Stocks Index","0.080","0","0.080","","0.080","https://fundcentres.lgim.com/srp/documents-id/72507794-be12-410c-b16c-b0e88d517055/Fact-Sheet_All-Stocks-Gilts-Index-Fund-LG-PMC-All-Stocks-Gilts-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC All Stocks Index Linked Gilts Index Fund 3","NEL3","GB00B4LY7B86","Fixed interest","Passive","UK Index-linked Gilts","FTSE Actuaries UK Index-Linked Gilts All Stocks Index","0.080","0","0.080","","0.080","https://fundcentres.lgim.com/srp/documents-id/56bc5d5e-abb3-4ecd-8b89-fa65da38e99a/Fact-Sheet_All-Stocks-Index-Linked-Gilts-Index-Fund-LG-PMC-All-Stocks-Index-Linked-Gilts-Index-Fund-3.pdf,Fact sheet,English"
